id;id_opp;support;gc_type;longueur;cout_gc_inter;cout_gc_mutual;geom
2;OPP_2-35_LT_26078_CRLS_001;GC à créer;Chemin non revêtu;47;3525;;01050000206A0800000500000001020000000200000074061B45211E2A413F645300A16358413A5CD3B31C1E2A41B776F25F9E635841010200000002000000F96DCEB7741E2A417DA38D9DD1635841D6E87AEA7D1E2A41FB37AC6DD263584101020000000200000056861408E2232A417CD2AD7CDD63584111DEF435DC232A414358F9E0DF6358410102000000020000009595EA8FC8262A4174F17378E9635841A58045F7C2262A4102B5A681EA63584101020000000200000006FE09E405292A41A13CEC488863584157D90F9123292A41CC8A2FBC87635841
10;OPP_2-35_LT_26078_CRLS_001;Réfection de voirie;Chemin non revêtu;200;;5000;01020000206A0800000700000074061B45211E2A413F645300A16358412CC094472F1E2A41A953C655A963584199BEE17E0A1E2A41AB8D60BFB1635841E4C3FDEB101E2A41FED21B86BA6358416D795953121E2A41601938E5C3635841B14CB9112F1E2A410F600AC2CB635841F96DCEB7741E2A417DA38D9DD1635841
1;OPP_3-1_LT_07231_WEFB_002;Assainissement;Chemin non revêtu;565;;14125;01020000206A080000150000002227D5B976BC28413C161AA87F5E58417BB57A786FBC284145B0F54B7F5E5841BD95CF7856BC28418BD45B43805E5841A37828F00BBC284138137F9C875E5841DA4D2316DBBB284163E060418D5E58418E3780DCB6BB284116453D3A905E5841437030E37CBB2841568EE96D9A5E584115914D577ABB284141AD44CFA55E584146E5802E83BB2841D916FAEFA95E5841C6747C3DA3BB2841A723C276B05E5841FCC62F4CC9BB284140FDE389B45E58412C6109CDCABB28419286DD3DB75E5841999B67AAD6BB284116F9AEF7B95E5841F47DA12AE0BB2841F95E9517C05E5841E266A231F6BB28415C74B73FC45E58410164EA8D23BC28417B7AA5FBC95E5841E184C0B52EBC2841F9F38B32CE5E584115A7365834BC2841C2BC053BD35E58417106B83C2EBC2841B96F436AD95E5841D31BF24E01BC28414479CE91E15E58418411EAE5C5BB2841AE908B71F25E5841
5;OPP_3-1_LT_07231_WEFB_002;GC à créer;Chemin non revêtu;496;37200;;01020000206A0800000B0000008411EAE5C5BB2841AE908B71F25E5841A39F8E46F4BB2841D8BCEF41F35E58413130AA0CFABB284115D1128DF05E58417335680A07BC2841BE91CA2CF25E5841D71EAD7915BC2841F3E71457F45E584193BD3F9F84BC28414E1D6F2EFD5E5841C73C5ED2A5BC28417ABA57FCFE5E58412663535CBEBC2841F7D8AF09045F584160A5C174D5BC28417EABF2AE0E5F5841848948E6D6BC28414197CF63115F58416053A62E13BD28417F5F0A2A115F5841
6;OPP_3-25_LT_07201_RUMS_002;GC à créer;Axe demi chaussee;550;41250;;01020000206A08000005000000221BD31F0A9F28419F10B92E324E58418B253E43B89E2841D55672903D4E58412315D5FB8F9E2841D2547931504E58416030F902949E28418BA6E5465C4E584145F9BA4AF99E28417DEF5B726E4E5841
19;OPP_3-25_LT_07201_RUMS_002;Réfection de voirie;Axe demi chaussee;2810;;;01020000206A08000015000000A16F6C17278D2841F34C4B22AD4C5841066FB65A108E28417BC761FBB84C58411B822EC3E58E2841E6878C0EC34C584189BB0325D58F2841BAE2C694CB4C584192F51A47B39028414A66E49AD44C58417FA1181B3C912841D42AC42BD94C5841A443D527A39128412CDBE062D94C5841EF2C5ABE1E922841D4899499E04C58413ADC9D21C992284165492D1FEB4C5841F3B57D15519528410A5B315B2F4D58413B404DA833962841570BBC1A474D58418B0B3645F2962841B338C9C35A4D5841D926B39024992841FE3218A8944D5841DEB4FF3F1C9A2841A20D87DBAE4D5841F061463EE39A2841E83EAADFC34D5841ADE2052B3C9B28413ACEE427CD4D58418503B50FDF9B2841CA5A5327DF4D5841E4AC7148169D2841D8AF37A4FF4D58410ABB5DD01C9E28414B9ED0F11A4E5841A302310BD19E28415E926BA42B4E5841221BD31F0A9F28419F10B92E324E5841
11;OPP_4-10_LT_26173_MCHE_001;HTA;Axe demi chaussée;40493;;3036975;01050000206A0800000F0000000102000000320000004A05D63B443D2A41A74ACDB5088A58414705D63B443D2A41A74ACDB5088A584114E100E0513D2A41BF1B04B6068A5841E59531203C3D2A419B272578048A5841A2E7689E3D3D2A415F42352D048A5841A315EB862D3D2A41BF3C934B028A5841086B5CFD4B3D2A41EB11E446FE895841569D0F495C3D2A4184869029FB89584174046CA05C3D2A41C5B87E08FB8958418C157DE9793D2A417A3A487AEF895841CC274A61783D2A414FA73225ED89584144CA5EB8783D2A4181712204ED89584171E28F8F9E3D2A41D34BF7B4E9895841FAA3363EC43D2A41688B33BBE7895841E846EEA0D13D2A4156F5B9A5E789584126066E53F23D2A4194DED490E689584195958443253E2A41572FE24EE58958411A96F003303E2A415D91F6B4E48958419389F3AD393E2A413EC92615E4895841EEC17A8A4D3E2A4173B17A08E4895841D542D07F5D3E2A41961DB687E3895841F01398C5B53E2A413597B2DDE1895841BEFFBFECF13E2A414CF2F383E28958418AF89C24F53F2A413D26052CE38958412A91F3170E402A41D229F33EE389584159D7CAF31D402A4183B6810FE489584167C27BFE33412A418B59F4E8E58958415B6EBF02A5422A410470F9F5E9895841BC75B2254E432A41FBC25246EB895841F242B83D7A432A4146CB7E1FEB8958416E45F04E41442A4186F28DBAE48958419771F166B2452A418B07437DD98958416233156019462A41A0D6D0A8D68958411E1436528B462A41B518A3EAD38958410BEAC5025E472A415D5ECDC8C789584124DC7F02D6472A41D9CACBD3C089584107A6C926BE482A4130E47C27B5895841E5BF6CFCDF482A41EBBA5E77B389584136671B5B91492A412BAEC293AC895841A6D1CAC7C6492A41C9F218E1AB8958415C6AB985394A2A41064AE1C1AB8958412A152931F04A2A4133A7A3E4AB895841EB0C2AE90D4B2A41B5F27925AB895841A0A3D3E37E4B2A419215A7EBAA895841B48A60E6904B2A411B24E424AB89584117933DA8214C2A4162A654EBAA8958419A986F76EC4C2A41C3143D4EA8895841304C9C57224E2A414C20B1F2A1895841726628735C4E2A410B8047C0A089584155ACEE45664E2A41751C5519A089584101020000001200000046A6EA4EB35A2A41DFF95479F0885841EF38FCABEA5A2A417A16D79DF0885841EA878261F55A2A41C337E0AFEE885841C2BCF04B2F5B2A41DBB7404FEE88584178380D5E465B2A411AFC5C92ED885841F679F208595B2A41801E37B9EB8858412FCE2288645B2A41F9FEF96EED88584129F75ABED25B2A414A821085EE885841D2126E02D15B2A41EAB9A7D9F3885841D865AF2AD65B2A41DA693018F6885841F4EBBEF1E95B2A41946D6202F4885841EE0F4E9C045C2A4104057ABBF388584169D61AC91D5C2A41EABD8878F38858419D7AD0B3345C2A41672941B1EF885841048A3E357E5C2A41C37EBBF4EF88584185092428B75C2A4175DEE772ED8858413B29CF07B65C2A41F301076FEC885841FD4556B1BB5C2A41A18C9896EB8858410102000000040000008467DB0D255B2A41137777C61E895841E5F5C0BCDE5A2A41C77DAE56218958413B9995B9B85A2A416E894A0F17895841299265C3C95A2A418751309B15895841010200000004000000D22781BB185D2A417772685A40895841885E364ED45B2A414A80A4F25489584184092DF94C5B2A410C42CE835D895841766F428D015B2A417BCFFFDB6189584101020000000D000000845E364ED45B2A414880A4F254895841D0E66A40BD5B2A4119A029164C8958419E481AAEA85B2A41EA61B3DB4289584154CFEE56975B2A41861383A43F895841B6ABEA14905B2A414EAE89B83C895841422B65C98B5B2A41ED02F6FD3A8958419E21E431845B2A4154E9B4EF378958419E860CA17B5B2A41BD46ED7C3489584154EF65DF7A5B2A413AD6944B348958415112089E7A5B2A41C213B03A34895841104C4468785B2A4131E3C9E233895841560DDDA66B5B2A413E8489513289584153F85F75605B2A416F4145F0308958410102000000040000005B6FCAB7195C2A410DEF9A4213895841C967EE5D3A5C2A410103681312895841851F06D5765C2A41561CBF2A2289584187B1189CFC5C2A41B67661011D89584101020000000200000024AAB74F695C2A4150498CE1EF885841FD4556B1BB5C2A41A18C9896EB885841010200000002000000FD4556B1BB5C2A41A18C9896EB885841DE9D45ADBD5C2A41BB58C14AEB88584101020000000D000000FD4556B1BB5C2A41A18C9896EB885841756052FE0B5D2A418F106667E7885841C60B5B83205D2A41DF112A9FE6885841C1C1318B805D2A41B0F79026E2885841B049F7F29E5D2A4147E2E235E1885841E9D96322CD5D2A410CEC37B1DE885841CFDDE5F0D65D2A4164F99B22DE885841FDE923ABE25D2A417B3E625DDD885841B668E7C3FE5D2A41EBA0F3F6DB8858415B3AF7800B5E2A4144D0F783DB8858413C1D17D6485E2A41A1C75860DB885841E3AB3134D95E2A41C90272D4DA885841E6E3557CD15E2A41091F0B1DD6885841010200000008000000334D72EF9F5D2A41ABDE50DF82885841D2B53D6D615E2A41EBF68D287D8858413293445AC55E2A41E7A212F779885841D1ADE063FB5E2A414116C53378885841766A84292C5F2A41B4400CC876885841B0853499BD5F2A41255FE83871885841F48C73A8F75F2A41A3846F8B6F885841E527C0520A602A419DD58B996E88584101020000000B000000DD4ACC31E05E2A41B9E1B190D5885841CC468303EA5E2A4122EE28FDDA8858415F366EC6FE5E2A41921F3B7DDB885841CC2C5DA4375F2A41BD0AC46DDC885841843D9F245D5F2A4161449C4CDD885841A9D3EFC9B85F2A41B0FA92BCDF885841A9EEC739F05F2A41F70C4802E088584114B208E24F602A412E6EF113DF885841B0E52F9380602A4186D03884DE8858416F9C20D7CB602A41EDB787B0DD885841FEF39B9D16612A41038D9AD0DD88584101020000000D000000ED34886E925F2A418BB3F259C78658417B07154189602A41D935344DBA865841B57C9C88BD612A413ADEBEC2AE865841E973B9FA69622A41579137C3AD8658415A2C5CD0B0622A412A86305DAA8658411D1A4AA6F1622A413711B700A58658419E9F857B8A632A413D421EFA9B8658410BF7791EA2632A41F9CD37F39A865841042E3550D9632A418F30E6DF9C8658413B72A6F714642A4123070286A08658413A7BCF2F31642A41A8687BB69C865841E6DA43C53F642A414EAA77E18F865841F14CB02264642A414D3CE8BF8986584101020000000B000000E527C0520A602A419DD58B996E8858417E9D80D51F602A41574BBD356F885841CAEAF1B94F602A418FAD0A7E6C88584186D3FCADA6602A414B070BE467885841177BA475C8602A410E8AB36B66885841967172D3FA602A41124403A765885841D6C9D42D72612A41C919F46263885841C644D4791C622A41F8F0C35A60885841A625AD1F37622A417C2013DE5F88584176BD5BEE52632A41EC54D35F608858416D3E13E131642A41D59A6C595B885841010200000009000000E527C0520A602A419DD58B996E885841632EA5FC2E602A411384A4557588584113C187CB62602A41F4F07D7F7F885841DFBC080A8B602A41AAA20A098788584193CAF388B9602A412A7CF363908858411A06F0E3DB602A41BA44B8949C88584147C48FE8E7602A41B6093F3FA58858414FD7B8272C612A41C05F8F4CB38858411B22E33389612A41D5CBB9B8C5885841010200000018000000C09EE4632C662A41C35423F7488658414A7425D161662A4190DF92014E865841457C9DF37C662A41288FED8F4F8658416383962494662A4157979B155086584104DBAF5B4D682A41227214905C865841C051852CF9692A4168A8BC466E865841A0A7A95B286A2A41A036FEA4678658415AFFBEF37B6A2A41ACEF4BCD59865841E8F1B217C16A2A417E03AF6D52865841D4A1729B4D6B2A41BD7DC43346865841A699ACD1AB6B2A417CAE84993D865841428B81B5D16B2A41755C4405338658417C12103C3E6C2A41BB14ABF62A865841143C6DF6BA6C2A41EA81590F1686584171D25015596D2A41B7A97E8704865841B88037357E6D2A4127C7051FFE8558412B0CA3BF016E2A41E70481DAF4855841902D1F765F6E2A41EE45664BEF855841C200294FB56E2A41E4215578E88558415D5C8855706F2A4197937828E68558411BA91FB82B702A419D2B2B45E2855841F646681868702A41BEF62413E085584124D9444AC2702A41C93F67E3DC855841186780FCA5702A41FA5595A6D5855841
12;OPP_4-10_LT_26173_MCHE_001;GC à créer;Axe demi chaussée;2233;167475;;01050000206A080000060000000102000000020000008BFF4B8D165B2A411A009C12198958417C0B0059225B2A410999B5E21E895841010200000005000000592DC392195C2A415FCDF24313895841A492BD1C1D5C2A41E55453110F895841F0E82F7AEE5C2A410090D2F9098958411F234506AE5C2A4165FC2C95FA8858412AAAB74F695C2A4151498CE1EF885841010200000009000000FEF39B9D16612A41038D9AD0DD8858415101CE1B74612A413BBC43F7DF88584132DC9311A2612A418E3BD9CADF885841D4F2432AB8612A41790E8293DE885841AE979999D8612A417E6F66A6DD885841B96237CBE3612A41D0926EA2DC885841EE536836BE612A417654A140D58858410FB7665EA3612A41A795C5FACF8858411B22E33389612A41D5CBB9B8C5885841010200000007000000F04CB02264642A414C3CE8BF898658412DDB6B6F7A642A414A8A4D028786584148A34CD7BF642A41171AA1C67F8658415CB3FBB1CF642A416DF3A30C80865841DB976005E7642A41FA4FB2AA7D865841E3CDBF23F8642A41F57C84DC7A8658416647167205652A41BA862F2477865841010200000007000000313829592D652A41D2B68D585B865841D4FD051652652A41A470D46D5986584103B7874CB8652A41588A61674F86584114BFB319F2652A410A9F8BF24A8658415CBD55D2FB652A41FEF16A4F4B86584122CC6ACD24662A41FF88E55848865841C09EE4632C662A41C35423F74886584101020000000D00000018D9444AC2702A41C83F67E3DC855841F0A16AAA27712A410A055AC2DB8558411ABE2EF86C712A414C665DA7D8855841CE765AC39A712A41D62D0EE3D58558411BC3BB62B8712A41F7BBB747D88558414917437B36722A41FFA28D6CE585584197AFB6A56E722A41250CE8F2E8855841FA07BC8E5C722A413F840812F7855841AF0EBCE95D722A41C09B7552088658411CBC301967722A41CC40F88A0A865841DE6E34EE51722A411543ADAE14865841CC9E8FE852722A4192E179621E86584144F778633C722A413E448FE620865841
7;OPP_4-10_LT_26173_MCHE_002;GC à créer;Chemin non revêtu;182;13650;;01020000206A0800000F000000C146A56C89652A4116AB23C42686584176FC365693652A4112C618462886584198B2B39EA9652A417A061AA229865841526E1061BE652A410390F8392B865841B99A8DEACC652A41F32EB39D2C86584197F28105E1652A41E06D1D852F865841D1D19EBBF8652A41A0BA79DD32865841B0CFE9B20F662A41BC891C9E35865841F609A93127662A41206B6AAA3786584148F399F944662A4100F6E35539865841141534BB68662A415306FCFA39865841B84C95957D662A41DB029D203A865841EE5D6CD888662A4104903B7B3886584196FE737B7B662A4109F77E6434865841CE97CC1873662A414D510CF732865841
13;OPP_4-10_LT_26173_MCHE_002;Réfection de voirie;Axe demi chaussee;1246;;;01020000206A080000130000006647167205652A41BA862F2477865841B7B1CDC80C652A4169081FE1748658412D3E284A14652A41E8A9F9EE6C865841BE730E7E23652A4184DE968461865841273829592D652A41D5B68D585B865841C87FB19836652A41344B165655865841C8DDA3354C652A41B0C78F9149865841614A9AD656652A41EBC0975743865841AB28EF5465652A419293A9A33A865841AA8852D06D652A4100E9D536338658412079E49E7A652A4132233A5B2D865841AB9514C587652A41FC8B63B0268658415470D7A88F652A4153E942B0228658414AA18F0C98652A4125E9DAA11C8658410FD5F3199D652A41BA0DCBFD16865841D85E12F5A0652A41EB41AEF213865841CE8FF02CAD652A417C9346410F865841D6AF875FEF652A417746ACF305865841FF0661D4EC652A4147C5664E06865841
17;OPP_4-34_LT_07204_WAGV_001;Réfection de voirie;Chemin non revêtu;446;;8800;01020000206A0800001100000027BB5E3C1FB728419CE73EA1B38C5841603D272E3EB72841BC47F741B18C58415617969D7AB7284151E11A23AE8C58419C4FD24EBAB72841BE2C1C13AB8C58411ABD49D7D3B728415D270574A98C58410168AFE4E8B728410E5161C5A78C5841FB4305750EB82841DB213154A38C584136EF0C952AB82841B54D3FB2A08C58419493936949B82841A5132D239F8C5841EA6D759C65B82841619B9E109E8C58418B20FF6B79B82841220BBC4F9D8C58416E95520BA2B828415F8F36C69B8C58411574E3F6F4B82841D15E0866988C5841F5965DDD28B928414619C87A968C5841EF0F783B59B928414B94AE02958C58419410649799B928413DF47804938C5841200766A7A2B92841B4CF696D928C5841
18;OPP_LT_07024_BANN_001;GC à créer;Chemin non revêtu;26;1950;;01020000206A08000006000000EE5F1609D75A284123A376585748584191878010CE5A284163BF872B5748584178F61AA1C25A2841C6B4FCA1574858412140338BB75A284122A7C3EA584858415BFD78EBB35A2841D7594AFB59485841854673BFB35A2841D3BA7BEB5A485841
4;OPP_LT_07330_VPAR_001;GC à créer;Chemin non revêtu;30;2250;;01050000206A08000002000000010200000002000000AE61E06BD7CB2841C7276AE3B05458415C4F06D5D6CB2841D0062363B35458410102000000020000008CB16D35F3CB2841986DA261995458412657D28FF8CB28411728FCF896545841
14;OPP_LT_07330_VPAR_001;Assainissement;Chemin non revêtu;95;;2375;01020000206A080000040000008CB16D35F3CB2841986DA26199545841EC87BB46EBCB2841083368F39C5458419C149CC3E2CB28417A0A9AF2A6545841F64FD077D7CB28411DF5F3D8B0545841
20;OPP_LT_26148_HTRV_001;Réfection de voirie;Chemin non revêtu;2640;;66000;01020000206A08000009000000A45D30DDFB0B2A41AA1B5A5272A558411EC6E32CAD0B2A410F0B35A062A558417CD4A142500B2A41CF1E91D351A55841CAB32B56C80A2A41A410571C35A55841221081A74D0A2A41B43002991DA55841E0E5FD1A3B0A2A4137E9F1F818A55841EAD6711F310A2A419A07B85E15A5584112287573F0092A410BBE3E2405A558412AE2F6B0DE092A41805DF75501A55841
3;OPP_LT_26381_JLAN_001;HTA;Chemin non revêtu;17065;;426625;01050000206A080000050000000102000000040000004AD893AF928D2A41B66A910A4091584106E042A7C88E2A4148FB28863F915841CA3F1F23058F2A4119FA1F5C3F91584100ACBD6C3D902A41745483BA4791584101020000000200000000ACBD6C3D902A41745483BA479158417843169D2D912A41C839E2EB4891584101020000003C00000000ACBD6C3D902A41745483BA4791584151679FE4F38F2A4146DE13343F91584162EC8246BB8F2A41840A81A5319158413EE73C48AB8F2A41C973E10D299158417E8D52CDAB8F2A4139DB30181991584144928118CA8F2A4177E5923C09915841EEAA0C0DA98F2A411AAFA6DFFC90584102FA7083A88F2A4168E74DBCF1905841E2C17176CD8F2A41AA2F444BEC905841D7088FE5DF8F2A417FE339C2E990584106CF8C7716902A410B41BC7DE590584186A00C394A902A410ED2B778E090584104D3F23BAA902A41F17DB275DD90584124EAFF65E0902A418006060CDB9058413C989E0D4D912A41931ADBBCD49058417103E10B8D912A419DC57B46CE9058419E3E042713922A4162E40EA1C09058410666320365922A418833653ABA905841313762F6AC922A41F2AE6E3FB8905841F65BA735E5922A41319C02EDB9905841E2ECC0B0F1922A412DDBBF5EB7905841952E777B9E922A4142B08957B690584113C47CA65C922A41A75ED099B79058413ACFC99D35922A41778DA5F3B8905841D014C58121922A411C6CAD8AB59058413C32E52225922A4178209995B2905841E25F44A846922A412C362CCFAC905841893C173D10922A41224D7B06A39058411998D1A0F8912A419721E996969058419D396295F8912A416B179639899058411250A155A6912A41C6E83FEB85905841EAE5212C99912A4145BB80E77B905841F5692D0890912A41C222DB5A69905841715C3A9255912A419D80F67C5C905841B8A43CB829912A41A4A912A058905841FA568EEBEB902A41335F7812559058413BCC1604D2902A41AD0D4DE65090584179AE4A0DCF902A41514A7F6B42905841F44DD9E097902A41372C1EA73C905841C9C6992A92912A41BE0DE1C52A90584163A2689567922A41191193C00B9058418031F791A4922A414C1DFF0313905841B04CCABDDE922A41BB1EDC86199058416C07EC7115932A41F4B1EE40229058412E2E95E14E932A413AA4871A2C90584150E3EBD364932A416D55C9B73490584151604BF099932A418337BE2037905841A3AAD34BFD932A413478749F3590584120EE64B04A942A418972B3E832905841ACCCF28A56942A41A9B474CF2E9058419F82419246942A41A1561A7324905841DC98B6E46D942A410F736CE427905841B618709A96942A41CB3AC27C2C905841A7620B6CB2942A4100303F7E35905841D0A0A45ADE942A412EF24AFC389058412C3DD17C2B952A413EF3D619489058419F6156E94F952A41C09F099F5290584145BE3C219F952A41420FEEB94A90584132FCC0CAF6952A41C2C5821645905841F4561D0227962A41B91EB6A74290584101020000000900000023E6975684962A4161A1ED11D88F584196CA06A4A0962A413A301635C28F58410A3B64D6CE962A41970230A2A08F58410CA1F932FA962A4174F64025878F5841161EA95DF8962A41B233E7F0818F5841DAE0215F21972A41365693AF778F5841B407E53B7E972A41E8E6270A688F5841C8081478D5972A41D99787E3568F584181472CE0CA962A4146D1274E4E8F584101020000000B0000006AE768D433972A41184A6621FF8F5841C6026D0C72972A41DC755904FE8F5841435524DB85972A411A39ECBAFE8F58417C1E1E2AAD972A419EEC1B9C04905841E3BDCB95C8972A41005B57EB0A905841B8580B5403982A419977CBE80C90584137A7BF3634982A419F28EE820C90584120F49EFF67982A41B9EEC4C7119058413C7A74B7A8982A410D4913F31390584133A4A35A0C992A41DA1291BF0F90584198844EDB42992A41429A36DA0B905841
